imputation_algorithm,cv_fold,f1,tau,auc
mice-burnin5-iters25,0,0.562054,0.442269,0.846260
mice-burnin10-iters50,0,0.571744,0.453267,0.851773
softimpute,0,0.601262,0.431374,0.844516
mice-burnin10-iters25,0,0.564147,0.438019,0.844934
mice-sparse5-burnin5-iters50,0,0.506285,0.411220,0.831670
mice-sparse5-burnin5-iters25,0,0.497329,0.384968,0.816595
mice-sparse25-burnin5-iters25,0,0.572518,0.450608,0.851658
svd,0,0.594324,0.407370,0.829577
knn,0,0.566932,0.424215,0.814124
mice-sparse25-burnin5-iters50,0,0.576442,0.462106,0.856354
mice-burnin5-iters25,1,0.562719,0.438465,0.845709
mice-burnin10-iters50,1,0.570471,0.456222,0.851287
softimpute,1,0.600521,0.429186,0.848272
mice-burnin10-iters25,1,0.567531,0.438780,0.843874
mice-sparse5-burnin5-iters50,1,0.495594,0.415379,0.832674
mice-sparse5-burnin5-iters25,1,0.497783,0.392196,0.824500
mice-sparse25-burnin5-iters25,1,0.579408,0.447981,0.851850
svd,1,0.604504,0.405331,0.834287
knn,1,0.568651,0.417511,0.808311
mice-sparse25-burnin5-iters50,1,0.571727,0.459746,0.858107
mice-burnin5-iters25,2,0.560358,0.437282,0.844985
mice-burnin10-iters50,2,0.560924,0.452734,0.850289
softimpute,2,0.604615,0.432198,0.844459
mice-burnin10-iters25,2,0.561617,0.435531,0.843835
mice-sparse5-burnin5-iters50,2,0.495283,0.412406,0.834043
mice-sparse5-burnin5-iters25,2,0.480148,0.380596,0.815955
mice-sparse25-burnin5-iters25,2,0.572233,0.450548,0.852651
svd,2,0.591266,0.409360,0.830558
knn,2,0.567350,0.414342,0.808769
mice-sparse25-burnin5-iters50,2,0.565511,0.456274,0.856622
